bedrooms,bathrooms,area,age,price
5,2.5,9050,1921,2380000
4,2.5,4000,1909,1400000
5,2.75,9480,1939,1200000
4,2.5,42998,2001,838000
3,2,4500,1929,805000
3,2.5,4750,1951,790000
5,3.25,11995,2006,785000
3,1.75,10578,1923,750000
3,2.5,6550,1955,750000
4,2.25,11250,1920,698000
5,2.5,67518,1979,675000
4,2,5000,1945,650000
4,2,6200,1945,640000
4,2.75,37277,2000,630000
3,2.25,1572,2005,626000
4,2.5,8408,2014,625000
4,3.25,54014,2007,625000
3,1.75,7291,1948,615000
4,2.5,12261,1991,612500
3,2.5,33151,1995,604000
3,1.75,14892,1980,588500
4,2.5,6500,2012,555000
4,2.5,10500,1976,550000
3,1.75,35200,1979,550000
4,2.5,3345,2004,499950
4,1.75,6380,1959,495000
4,1.75,125452,1968,491500
2,1,6380,1938,490000
4,2.5,35868,1989,482000
5,2.5,9655,1976,470000
3,1.75,7320,1948,463000
3,2.5,5539,2013,459990
3,2.5,88426,1985,452500
3,2.5,1180,2001,445700
4,2.25,8119,1966,440000
2,1,4850,1944,440000
3,2.5,2875,1990,439950
3,2.25,35100,1977,437500
3,2.5,1235,2007,436110
4,1,8800,1954,435000
4,1.5,10000,1954,430000
3,2.25,8030,1963,420000
3,1.5,6700,1956,419000
3,2.5,10460,1996,407500
3,2,13100,1957,403000
4,2.5,42884,1979,400000
3,3.25,1327,2008,385000
4,1.75,8700,1967,382500
4,3,7231,1997,367500
3,1,6435,1955,365000
3,2,11947,1966,342000
2,2,2560,1976,335000
3,2.25,16215,1978,335000
3,1,9180,1968,315000
3,1.5,7912,1955,313000
2,1,6174,1950,308500
3,2.5,5050,2006,300000
2,2.5,1368,2009,295000
3,3,19966,1992,287200
4,2.5,9397,1987,285000
3,2.5,10834,1987,285000
3,1.75,23103,1968,284000
3,1.5,10277,1983,275000
4,2,8625,1974,260000
3,1.75,5858,1987,257950
3,1.5,9720,1965,242500
2,1,9400,1949,235000
